"Model","Variable","Coefficient","Lower_CI","Upper_CI"
"D01","vol_pos_uni",0.00168988675433723,-0.0171916398556031,0.0205714133642775
"D01","vol_neg_uni",-0.00604159437736179,-0.022591236848204,0.0105080480934804
"D01","log(me)",0.0138303962990493,0.0033717958958393,0.0242889967022592
"D01","log(bm)",0.0130361127097863,-0.0100189441209184,0.0360911695404909
"D01","log(turn)",0.0685064882410843,0.0491818796395153,0.0878310968426532
"D01","sue",-0.00242047621473613,-0.00684283259895237,0.00200188016948012
"D01","nasdaq",-0.022412024434991,-0.0344059945484007,-0.0104180543215812
"D02","vol_pos_uni",0.000926550877440035,-0.017015624385931,0.0188687261408111
"D02","vol_neg_uni",-0.00502080071821896,-0.0214658497603938,0.0114242483239559
"D02","log(me)",0.0140754977089238,0.00367602286999821,0.0244749725478493
"D02","log(bm)",0.012173226340784,-0.0109497418719902,0.0352961945535582
"D02","log(turn)",0.0704774580071597,0.0511479034737151,0.0898070125406042
"D02","sue",-0.00233334662147878,-0.00656628181671592,0.00189958857375836
"D02","nasdaq",-0.0225835854951601,-0.0354427501354507,-0.0097244208548694
"D03","vol_pos_uni",0.000464710427832818,-0.0171418732304348,0.0180712940861005
"D03","vol_neg_uni",-0.00387838534486657,-0.0202659793428921,0.012509208653159
"D03","log(me)",0.01400029670076,0.00353451175075481,0.0244660816507651
"D03","log(bm)",0.0116728394696925,-0.0120888338509491,0.035434512790334
"D03","log(turn)",0.0716189117653258,0.0518973953702315,0.09134042816042
"D03","sue",-0.00272211925695539,-0.00708441445025289,0.00164017593634211
"D03","nasdaq",-0.0224555531275044,-0.0348609750946199,-0.0100501311603889
"D04","vol_pos_uni",0.000403988509954831,-0.0180266223161965,0.0188345993361061
"D04","vol_neg_uni",-0.00198213971450287,-0.0180528528646716,0.0140885734356659
"D04","log(me)",0.0145187845864124,0.00419474709390362,0.0248428220789211
"D04","log(bm)",0.0108431055430344,-0.0126907467231997,0.0343769578092684
"D04","log(turn)",0.0722745357454549,0.0525781313834423,0.0919709401074675
"D04","sue",-0.00291062385511459,-0.00762610201683332,0.00180485430660414
"D04","nasdaq",-0.0222974640493287,-0.03474877094672,-0.0098461571519375
"D05","vol_pos_uni",-0.000347602624079902,-0.0192769864086194,0.0185817811604596
"D05","vol_neg_uni",-0.000713476043500585,-0.0167970880625745,0.0153701359755733
"D05","log(me)",0.0152114461313802,0.00493380919929168,0.0254890830634687
"D05","log(bm)",0.0105916656130509,-0.0130363937465248,0.0342197249726266
"D05","log(turn)",0.0718597023246049,0.0526350547027003,0.0910843499465095
"D05","sue",-0.00280569411380933,-0.00749063189350798,0.00187924366588932
"D05","nasdaq",-0.0203482738659899,-0.0321356165706313,-0.00856093116134852
"D06","vol_pos_uni",-1.49842097492435e-05,-0.0190894302613579,0.0190594618418594
"D06","vol_neg_uni",2.10273531660806e-05,-0.0165196709375144,0.0165617256438465
"D06","log(me)",0.0155080234430529,0.00502544551653155,0.0259906013695743
"D06","log(bm)",0.00865406687965368,-0.0150088398259335,0.0323169735852409
"D06","log(turn)",0.0718793759504811,0.0527671628470515,0.0909915890539107
"D06","sue",-0.00246915375651576,-0.0071881158662292,0.00224980835319767
"D06","nasdaq",-0.0207452758328421,-0.0330955598775503,-0.00839499178813394
"D07","vol_pos_uni",-0.000675924962412803,-0.0195138634512363,0.0181620135264107
"D07","vol_neg_uni",0.000827772202661576,-0.0160706433662989,0.017726187771622
"D07","log(me)",0.0156822686027802,0.00490131021326397,0.0264632269922964
"D07","log(bm)",0.00873691057184364,-0.0150599648004221,0.0325337859441094
"D07","log(turn)",0.0712166797902072,0.0524071599797515,0.0900261996006629
"D07","sue",-0.00257416970574988,-0.00719540296817207,0.00204706355667231
"D07","nasdaq",-0.0190074325443886,-0.0312551328615088,-0.0067597322272685
"D08","vol_pos_uni",-0.00101986021984165,-0.0200425659540303,0.018002845514347
"D08","vol_neg_uni",0.000818383412321266,-0.0162101091840651,0.0178468760087077
"D08","log(me)",0.0164627379772736,0.00565533327522971,0.0272701426793175
"D08","log(bm)",0.00852554540670866,-0.0150675032158944,0.0321185940293118
"D08","log(turn)",0.0702260764727525,0.0517240807035776,0.0887280722419274
"D08","sue",-0.00174670884088004,-0.00602606360229449,0.00253264592053441
"D08","nasdaq",-0.0185256392237451,-0.0308022500170773,-0.00624902843041289
"D09","vol_pos_uni",-0.00144629083862194,-0.0204998049066661,0.0176072232294222
"D09","vol_neg_uni",0.00130748089513996,-0.0156637671776636,0.0182787289679435
"D09","log(me)",0.0169404775173859,0.00573954745338191,0.0281414075813899
"D09","log(bm)",0.00703884772698606,-0.0160935493130277,0.0301712447669999
"D09","log(turn)",0.0690588969545937,0.0509870966149689,0.0871306972942185
"D09","sue",-0.00174714319248421,-0.00589767258400744,0.00240338619903903
"D09","nasdaq",-0.0170368336993484,-0.0291846546098064,-0.00488901278889044
"D10","vol_pos_uni",-0.00209891440309648,-0.0195204653623293,0.0153226365561363
"D10","vol_neg_uni",0.00187979066995916,-0.0151123919955473,0.0188719733354656
"D10","log(me)",0.0179132310277936,0.00636300572083645,0.0294634563347508
"D10","log(bm)",0.00696188355469211,-0.0157732710950743,0.0296970382044586
"D10","log(turn)",0.0667898845873085,0.0494323699178507,0.0841473992567664
"D10","sue",-0.00184367828886177,-0.00603462239495514,0.0023472658172316
"D10","nasdaq",-0.0167660580559451,-0.0286643957733924,-0.00486772033849779
"D11","vol_pos_uni",-0.00222404678918706,-0.0193130634273397,0.0148649698489656
"D11","vol_neg_uni",0.00213050313923605,-0.0144167442298133,0.0186777505082854
"D11","log(me)",0.018326728608326,0.00613380570286226,0.0305196515137898
"D11","log(bm)",0.00676931396965523,-0.0159635079829317,0.0295021359222421
"D11","log(turn)",0.0660969570138042,0.0486329136425773,0.0835610003850311
"D11","sue",-0.00153629395458851,-0.00578604582717151,0.00271345791799449
"D11","nasdaq",-0.0160821617402506,-0.0282651944774563,-0.00389912900304483
"D12","vol_pos_uni",-0.00175814944865547,-0.0185845010525763,0.0150682021552653
"D12","vol_neg_uni",0.00300226285996107,-0.0136236300950071,0.0196281558149292
"D12","log(me)",0.01861548527839,0.00629654585319164,0.0309344247035883
"D12","log(bm)",0.00691434038420977,-0.0157273039330865,0.029555984701506
"D12","log(turn)",0.0656204737100195,0.0484539048449586,0.0827870425750805
"D12","sue",-0.00121346817259087,-0.00532055112320416,0.00289361477802242
"D12","nasdaq",-0.0148042026434999,-0.0276148068266468,-0.00199359846035289
"D13","vol_pos_uni",-0.000773262174764176,-0.017887181454106,0.0163406571045777
"D13","vol_neg_uni",0.00326379938178816,-0.0137637304051224,0.0202913291686987
"D13","log(me)",0.0189843550538896,0.00644765166723569,0.0315210584405436
"D13","log(bm)",0.00682323386382725,-0.0152500550550906,0.0288965227827451
"D13","log(turn)",0.065683992482742,0.0484195963489463,0.0829483886165377
"D13","sue",-0.00136873277279556,-0.00550013879454841,0.00276267324895729
"D13","nasdaq",-0.0163335866097814,-0.029630821557927,-0.00303635166163579
"D14","vol_pos_uni",-0.00167877094912453,-0.0193300517711298,0.0159725098728807
"D14","vol_neg_uni",0.00243562074799911,-0.0143392706742608,0.019210512170259
"D14","log(me)",0.0190725959419029,0.00623642952497475,0.0319087623588311
"D14","log(bm)",0.00682566474921059,-0.0148367865139062,0.0284881160123274
"D14","log(turn)",0.0643180030931651,0.0465777106328223,0.0820582955535079
"D14","sue",-0.00128351965819264,-0.00543762258940524,0.00287058327301996
"D14","nasdaq",-0.0158656920590032,-0.0296996478702132,-0.00203173624779327
"D15","vol_pos_uni",0.000351004572549072,-0.0174815200241475,0.0181835291692457
"D15","vol_neg_uni",0.00296836693611045,-0.0141800749264023,0.0201168087986232
"D15","log(me)",0.0191599151834485,0.00590594548392748,0.0324138848829694
"D15","log(bm)",0.00723498964211111,-0.0142519868930327,0.0287219661772549
"D15","log(turn)",0.0651839635227844,0.0473369561986497,0.0830309708469192
"D15","sue",-0.00138649943569395,-0.00577092648013903,0.00299792760875114
"D15","nasdaq",-0.0168528057486123,-0.030878370552096,-0.00282724094512851
"D16","vol_pos_uni",0.000650372963750826,-0.0170525536082627,0.0183532995357643
"D16","vol_neg_uni",0.00132746710225747,-0.0155544196935164,0.0182093538980314
"D16","log(me)",0.0197343197979706,0.00585204444740426,0.0336165951485369
"D16","log(bm)",0.00679058352384679,-0.0149280528229225,0.0285092198706161
"D16","log(turn)",0.0648818159163056,0.0469240729368928,0.0828395588957184
"D16","sue",-0.00156469468423187,-0.00598589637835079,0.00285650700988704
"D16","nasdaq",-0.0184121703129474,-0.0325652974837599,-0.00425904314213481
"D17","vol_pos_uni",0.000256096454252973,-0.0172471411708411,0.0177593340793471
"D17","vol_neg_uni",0.00147010879811959,-0.0154678482949922,0.0184080658912314
"D17","log(me)",0.0197123972558804,0.00550823251905217,0.0339165619927087
"D17","log(bm)",0.00555005477839723,-0.0161511265080177,0.0272512360648122
"D17","log(turn)",0.064364800420179,0.0460904032308283,0.0826391976095298
"D17","sue",-0.00136844802518644,-0.00559617516201389,0.00285927911164101
"D17","nasdaq",-0.0185869029087277,-0.0333039790369143,-0.00386982678054119
"D18","vol_pos_uni",-0.000223817225994542,-0.0181898980875141,0.017742263635525
"D18","vol_neg_uni",0.00108673130897797,-0.0153104345716432,0.0174838971895991
"D18","log(me)",0.0202514385122435,0.00588611527453126,0.0346167617499558
"D18","log(bm)",0.00570335852200161,-0.0148860788114503,0.0262927958554535
"D18","log(turn)",0.0637351790306688,0.0454800026504803,0.0819903554108572
"D18","sue",-0.000674336492671415,-0.00485858732855108,0.00350991434320825
"D18","nasdaq",-0.0183869395250722,-0.0330161231532677,-0.00375775589687661
"D19","vol_pos_uni",0.000240610135706086,-0.0175558119343195,0.0180370322057317
"D19","vol_neg_uni",0.00101275924868675,-0.0149835166938331,0.0170090351912066
"D19","log(me)",0.0207223558569574,0.00646823057453104,0.0349764811393837
"D19","log(bm)",0.00598363877230473,-0.0141712785275372,0.0261385560721467
"D19","log(turn)",0.0632766863835829,0.0451259220124197,0.0814274507547461
"D19","sue",-0.000482131430489297,-0.00462184989592573,0.00365758703494714
"D19","nasdaq",-0.0182882939217658,-0.0328467422051165,-0.00372984563841506
"D20","vol_pos_uni",-0.000570455890152282,-0.0177458654501374,0.0166049536698328
"D20","vol_neg_uni",0.000647255341895357,-0.0145718721862847,0.0158663828700755
"D20","log(me)",0.0212215610934468,0.00671470536620997,0.0357284168206836
"D20","log(bm)",0.00669765482556517,-0.0131367873477458,0.0265320969988761
"D20","log(turn)",0.0627259963409222,0.0440783373816249,0.0813736553002195
"D20","sue",-0.000610450227895861,-0.00478964580794351,0.00356874535215179
"D20","nasdaq",-0.0168343633640857,-0.0311963105112056,-0.0024724162169658
"D21","vol_pos_uni",7.51153039615363e-06,-0.000207658237740581,0.000222681298532888
"D21","vol_neg_uni",-7.65890926192137e-05,-0.000253416868836653,0.000100238683598226
"D21","log(me)",0.000107504454550864,6.34009243816411e-06,0.000208668816663565
"D21","log(bm)",0.00014995218533934,-8.75720926246292e-05,0.000387476463303309
"D21","log(turn)",0.000668195541125379,0.000468863082717966,0.000867527999532793
"D21","sue",-2.13125805897977e-05,-6.32166675889912e-05,2.05915064093958e-05
"D21","nasdaq",-0.000295265747752022,-0.000446687733933247,-0.000143843761570798
